header,jabatan,nama,foto
Pimpinan,Direktur,Capt. Megi Hudi Helmiadi,https://lh3.googleusercontent.com/d/1a5Wo4VbY7eWMy9Bc0xbpjZ-9EK0Y9-RB
Pimpinan,Wakil Direktur I,"Dr. Dhian Supardam, S.E., M.M.",https://lh3.googleusercontent.com/d/12_luYpLirhBkr7QuWvAxyPx78_Hg6PPy
Pimpinan,Wakil Direktur II,"I Wayan Juliarta, S.T., M.M.",https://lh3.googleusercontent.com/d/1BMUMWlJRMNnmByoCvNgFc0fYWY6EsM2V
Pimpinan,Wakil Direktur III,"Ahmad Kosasih, S.T., M.T.",https://lh3.googleusercontent.com/d/1xgTMgTPkKzfhuNshOSZev1Q-r79dzbJi
Pimpinan,Kepala Bagian Keuangan dan Umum,"Ryeska Fajar Kusuma, S.Psi., M.T.",https://lh3.googleusercontent.com/d/1Zjzw6EfrvrZz-C1Rwkj4lzDampfRDiDw
Pimpinan,Kepala Bagian Administrasi Akademik,"Triadi Nuryanto, S.E., M.MTr",https://lh3.googleusercontent.com/d/1elOGXnc4ZxuYk0wZiM_NOxZr0QnDm0X8
Dewan Pengawas,Ketua,Sokhib Al Rohman,
Dewan Pengawas,Anggota,Raymond Ivan Sianturi,
Dewan Pengawas,Anggota,"Lisbon Sirait, S.E., M.E.",
Dewan Pengawas,Anggota,"Dr. I Gusti Agung Ayu Mas Oka, S.E., S.SiT., M.T.",
Senat Akademik,Ketua Senat,"Nurhedhi Desryanto, S.T., S.Si.T., M.M.",
Senat Akademik,Sekretaris Senat,"Dian Anggraini P., S.Si.T., M.T.",
Senat Akademik,Anggota Senat,Seluruh Ketua Program Studi,
Ketua Program Studi,DIV Penerbang,"Rinosa Ari Widagdo, S.Si.T., M.A.",
Ketua Program Studi,DIV Lalu Lintas Udara,"Imam Sonhaji, S.S.T., M.M.",
Ketua Program Studi,DIV Teknik Pesawat Udara,"Andri Kurniawan, S.S.T., M.T.",
Ketua Program Studi,DIV Teknik Listrik Bandara,"KGS. M.Ismail, S.Si.T., M.T",
Ketua Program Studi,DIV Teknik Navigasi Udara,"Dr. Feti Fatonah, S.E., M.Si.",
Ketua Program Studi,DIII Penerangan Aeronautika,"Elfi Amir, S.Si.T., S.E., M.M.",
Ketua Program Studi,DIII Pertolongan Kecelakaan Pesawat,"Surya Tri Saputra, S.S.T., MS.ASM.",
Ketua Program Studi,DIII Teknik Mekanikal Bandara,"KGS. M.Ismail, S.Si.T., M.T.",
Ketua Program Studi,DIII Teknik Bangunan Landasan,"KGS. M.Ismail, S.Si.T., M.T.",
Ketua Program Studi,DIII Operasi Bandar Udara,"Dr. Agoes Soebagio, S.H., DESS.",
Kepala Satuan & Pusat,Satuan Penjaminan Mutu,"Oka Fatra, S.Si.T., M.T.",
Kepala Satuan & Pusat,Satuan Pemeriksa Intern,"Yuda Wasis Gogor Irlambang, S.AP., M.A., QIA",
Kepala Satuan & Pusat,Pusat Pembangunan Karakter,"Imam Haryadi Wibowo, S.T., MS.ASM.",
Kepala Satuan & Pusat,Pusat Penelitian & Pengabdian Masyarakat,"Dian Anggraini P., S.Si.T., M.T.",
Koordinator,Perencanaan,Nuraeni Kusuma,
Koordinator,"Kepegawaian, TU & RT",Rahmad Isa Masri,
Koordinator,Humas & Pengembangan Usaha,Ichyu Machmiyana,
Koordinator,Administrasi Akademik,Gilang Trio Putra,
Koordinator,Tenaga Pendidik & Kependidikan,Lilis Kurnianingsih,
Koordinator,Praktik Kerja Nyata & Kerjasama,Andini Ayudyah Febianti,
Koordinator,Ketarunaan & Alumni,Johan Wahyudi,
Kepala Unit,Unit Asrama,Siti Khotimah,
Kepala Unit,Unit Perpustakaan,Susi Suhardianti,
Kepala Unit,Unit Teknik Informatika,Yedi Wahyudi,
Kepala Unit,Unit Bahasa,Deni Sapta Nugraha,
Kepala Unit,Unit Kesehatan,Emilia Rahajeng Larasati,
Kepala Unit,Unit Laboratorium,Iwan Engkus,
Kepala Unit,Unit Sertifikasi,Wahyu Cakra,
Kepala Unit,Unit Pelatihan,Feri Adriansyah,
Kepala Unit,Unit Teknik Umum,Anda,
